SARJA/SERIES; TASO/LEVEL; NIMEKE/TITLE; ISSN1; ISSN2
"59216";"1";"ISSUES IN SCIENCE AND TECHNOLOGY LIBRARIANSHIP";"";"1092-1206"
"70860";"1";"ISSUES OF BUSINESS AND LAW";"2029-9214";"2029-1094"
"63448";"2";"ISTANBULER MITTEILUNGEN";"0341-9142";""
"70861";"1";"ISTINA";"0021-2423";""
"59218";"1";"ISTOR";"";""
"59219";"1";"ISTORIKO-ASTRONOMICHESKIE ISSLEDOVANIYA";"0234-8632";""
"59220";"1";"ISTORIKO-BIOLOGICHESKIE ISSLEDOVANIA";"0202-0491";""
"59221";"1";"ISTORIKO-MATEMATICHESKIE ISSLEDOVANIA";"0136-0949";""
"59222";"1";"ISTROS";"1453-6943";""
"59223";"1";"IT PROFESSIONAL";"1520-9202";"1941-045X"
"59224";"1";"ITACA";"0213-6643";""
"59225";"1";"ITALIA DIALETTALE";"0085-2295";""
"59226";"1";"ITALIA MEDIOEVALE E UMANISTICA";"0391-7495";"1828-2431"
"59227";"1";"ITALIAN JOURNAL OF AGRONOMY";"1125-4718";"2039-6805"
"59228";"1";"ITALIAN JOURNAL OF ANIMAL SCIENCE";"1594-4077";"1828-051X"
"59229";"1";"ITALIAN JOURNAL OF BIOCHEMISTRY";"0021-2938";""
"59230";"1";"ITALIAN JOURNAL OF FOOD SCIENCE";"1120-1770";"2239-5687"
"59231";"1";"ITALIAN JOURNAL OF MINERAL AND ELECTROLYTE METABOLISM";"1121-1709";"1973-8056"
"59232";"1";"ITALIAN JOURNAL OF PUBLIC LAW";"";"2239-8279"
"59233";"1";"ITALIAN JOURNAL OF ZOOLOGY";"1125-0003";"1748-5851"
"59234";"1";"ITALIAN POETRY REVIEW";"1557-5012";"2035-4657"
"59235";"2";"ITALIAN STUDIES";"0075-1634";"1748-6181"
"59236";"1";"ITALIAN YEARBOOK OF INTERNATIONAL LAW";"0391-5107";"2211-6133"
"59237";"1";"ITALIANIST";"0261-4340";"1748-619X"
"59238";"2";"ITALIANISTICA";"0391-3368";"1724-1677"
"59239";"1";"ITALICA";"0021-3020";""
"59240";"1";"ITALIENISCH: ZEITSCHRIFT FUR ITALIENISCHE SPRACHE UND LITERATUR";"0171-4996";""
"59241";"1";"ITALIENISCHE STUDIEN";"0253-6188";""
"59242";"1";"ITALIQUE: POESIE ITALIENNE DE LA RENAISSANCE";"1423-3983";"1663-4438"
"59243";"1";"ITC JOURNAL";"1569-8432";"1872-826X"
"59244";"1";"ITE JOURNAL: INSTITUTE OF TRANSPORTATION ENGINEERS";"0162-8178";""
"59245";"1";"ITEA: INFORMACION TECNICA ECONOMICA AGRARIA";"1699-6887";""
"70862";"1";"ITINERAIRES: LITTERATURE, TEXTES, CULTURES";"2100-1340";""
"59246";"1";"ITINERARIO: INTERNATIONAL JOURNAL ON THE HISTORY OF EUROPEAN EXPANSION AND GLOBAL INTERACTION";"0165-1153";"2041-2827"
"59248";"1";"ITL: INSTITUT VOOR TOEGEPASTE LINGUISTIK";"0019-0829";""
"59247";"1";"ITL: INTERNATIONAL JOURNAL OF APPLIED LINGUISTICS";"0019-0810";"1783-1490"
"70863";"-";"ITÄ-SUOMEN YLIOPISTON OIKEUSTIETEELLISIÄ JULKAISUJA";"1799-0890";"1799-0904"
"59249";"1";"IUBMB LIFE";"1521-6543";"1521-6551"
"59250";"1";"IYYUN: THE JERUSALEM PHILOSOPHICAL QUARTERLY";"0021-3306";""
"59251";"1";"IZVESTIÂ SARATOVSKOGO UNIVERSITETA. NOVAÂ SERIÂ. SERIÂ SOCIOLOGIÂ. POLITOLOGIÂ";"1818-9601";""
"59252";"1";"IZVESTIÂ URAL’SKOGO GOSUDARSTVENNOGO UNIVERSITETA. SERIÂ 3. OB?ESTVENNYE NAUKI";"1817-7174";""
"59253";"1";"IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS";"0001-4338";"1555-628X"
"59254";"1";"IZVESTIYA MATHEMATICS";"1064-5632";"1468-4810"
"59255";"1";"IZVESTIYA: PHYSICS OF THE SOLID EARTH";"1069-3513";"1555-6506"
"70871";"1";"J-FOR: THE JOURNAL OF SCIENCE AND TECHNOLOGY FOR FOREST PRODUCTS AND PROCESSES";"1927-6311";"1927-632X"
"59256";"1";"J@RGONIA";"";"1459-305X"
"59258";"1";"JAARBOEK VAN DE MAATSCHAPPIJ DER NEDERLANDSE LETTERKUNDE TE LEIDEN";"0921-4895";""
"59259";"1";"JAARBOEK VAN HET GENOOTSCHAP AMSTELODANUM";"0923-0254";""
"59260";"1";"JAARBOEK VAN HET STIJN STREUVELGENOOTSCHAP";"";""
"59261";"1";"JAARBOEK VOOR MIDDELEEUWSE GESCHIEDENIS";"1388-6649";""
"59262";"1";"JAARBOEK VOOR NEDERLANDSE BOEKGESCHIEDENIS";"1381-0065";""
"59264";"1";"JAARBOEK VOOR VROUWENGESCHIEDENIS";"1574-2334";""
"59257";"1";"JAARBOEK: THOMAS INSTITUUT";"0926-163X";""
"59265";"2";"JACC: CARDIOVASCULAR IMAGING";"1936-878X";"1876-7591"
"59266";"1";"JACC: CARDIOVASCULAR INTERVENTIONS";"1936-8798";"1876-7605"
"59271";"1";"JAHRBUCH ARCHAEOLOGIE SCHWEIZ";"1661-8394";"0252-1881"
"59267";"1";"JAHRBUCH DER BERLINER MUSEEN";"0075-2207";""
"59268";"1";"JAHRBUCH DER DEUTSCHEN SCHILLERGESELLSCHAFT";"0070-4318";""
"59269";"1";"JAHRBUCH DER HISTORISCHEN FORSCHUNG IN DER BUNDESREPUBLIK DEUTSCHLAND";"0341-9177";""
"59270";"1";"JAHRBUCH DER OSTERREICHISCHEN BYZANTINISTIK";"0378-8660";"1810-536X"
"59272";"2";"JAHRBUCH DES DEUTSCHEN ARCHAEOLOGISCHEN INSTITUTS";"0070-4415";""
"59273";"1";"JAHRBUCH DES FREIEN DEUTSCHEN HOCHSTIFTS";"0071-9463";"1865-9411"
"59274";"1";"JAHRBUCH DES INSTITUTS FÜR DEUTSCHE SPRACHE";"0537-7900";""
"59275";"1";"JAHRBUCH DES KUNSTHISTORISCHEN MUSEUMS WIEN";"1605-2773";""
"59276";"1";"JAHRBUCH DES ROMISCH-GERMANISCHEN ZENTRALMUSEUMS MAINZ";"0076-2741";""
"59277";"1";"JAHRBUCH DEUTSCH ALS FREMDSPRACHE";"0342-6300";""
"59278";"1";"JAHRBUCH EXTREMISMUS UND DEMOKRATIE";"0938-0256";""
"59280";"2";"JAHRBUCH FUR ANTIKE UND CHRISTENTUM";"0075-2541";""
"59281";"1";"JAHRBUCH FUR ANTISEMITISMUSFORSCHUNG";"0941-8563";""
"59282";"1";"JAHRBUCH FUR DIE GESCHICHTE MITTEL- UND OSTDEUTSCHLANDS";"0075-2614";"2191-9909"
"59297";"1";"JAHRBUCH FUR EUROPAEISCHE ETHNOLOGIE";"1868-131X";"0171-9904"
"59283";"1";"JAHRBUCH FUR EUROPAISCHE GESCHICHTE";"1616-6485";""
"59284";"1";"JAHRBUCH FUR EUROPAISCHE UBERSEEGESCHICHTE";"1436-6371";""
"59285";"1";"JAHRBUCH FUR EUROPAISCHE VERWALTUNGSGESCHICHTE";"0937-7107";""
"59279";"1";"JAHRBUCH FUR FINNISCH-DEUTSCHE LITERATURBEZIEHUNGEN";"0781-3619";""
"59286";"1";"JAHRBUCH FUR GESCHICHTE LATEINAMERIKAS";"1438-4752";""
"59287";"1";"JAHRBUCH FUR HEGELFORSCHUNG";"0946-9559";""
"59288";"1";"JAHRBUCH FUR HISTORISCHE KOMMUNISMUSFORSCHUNG";"0944-629X";""
"59289";"1";"JAHRBUCH FUR INTERNATIONALE GERMANISTIK";"0449-5233";""
"59290";"1";"JAHRBUCH FUR INTERNATIONALE GERMANISTIK: REIHE C FORSCHUNGSBERICHTE";"0721-3905";""
"59291";"1";"JAHRBUCH FUR NUMISMATIK UND GELDGESCHICHTE";"0075-2711";""
"59292";"1";"JAHRBUCH FUR REGIONALGESCHICHTE";"1860-8248";"0085-2341"
"59293";"1";"JAHRBUCH FUR RELIGIONSPHILOSOPHIE";"1619-9588";""
"59294";"1";"JAHRBUCH FUR UNIVERSITATSGESCHICHTE";"1435-1358";""
"59295";"1";"JAHRBUCH FUR WESTDEUTSCHE LANDESGESCHICHTE";"0170-2025";""
"59296";"2";"JAHRBUCH FUR WIRTSCHAFTSGESCHICHTE";"0075-2800";""
"70864";"1";"JAHRBUCH FÜR BIBLISCHE THEOLOGIE";"0935-9338";""
"59298";"3";"JAHRBUCHER FUR GESCHICHTE OSTEUROPAS";"0021-4019";""
"59299";"1";"JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK";"0021-4027";""
"59300";"2";"JAHRESHEFTE DES OSTERREICHISCHEN ARCHAOLOGISCHEN INSTITUTES IN WIEN";"0078-3579";"1729-5416"
"59301";"2";"JAIDS: JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES";"1525-4135";"1944-7884"
"59302";"1";"JALA: JOURNAL OF LABORATORY AUTOMATION";"2211-0682";"2211-0690"
"59303";"3";"JAMA: JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION";"0098-7484";"1538-3598"
"59304";"1";"JAMES JOYCE LITERARY SUPPLEMENT";"0899-3114";""
"59305";"2";"JAMES JOYCE QUARTERLY";"0021-4183";"1938-6036"
"59306";"1";"JANAC: JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE";"1055-3290";"1552-6917"
"59307";"1";"JANUS HEAD";"1524-2269";"1521-9194"
"59308";"1";"JANUS: SOSIAALIPOLITIIKAN JA SOSIAALITYÖN TUTKIMUKSEN AIKAKAUSLEHTI";"1235-7812";""
"59309";"1";"JAPAN AND THE WORLD ECONOMY";"0922-1425";""
"70865";"1";"JAPAN FORUM";"0955-5803";"1469-932X"
"59310";"1";"JAPAN JOURNAL OF INDUSTRIAL AND APPLIED MATHEMATICS";"0916-7005";"1868-937X"
"59311";"1";"JAPAN JOURNAL OF NURSING SCIENCE";"1742-7932";"1742-7924"
"72447";"-";"JAPAN-FINLAND JOINT SYMPOSIUM ON OPTICS IN ENGINEERING";"";""
"59312";"1";"JAPANESE ECONOMIC REVIEW";"1352-4739";"1468-5876"
"68270";"1";"JAPANESE ECONOMY: TRANSLATIONS AND STUDIES";"1097-203X";"1944-7256"
"59313";"1";"JAPANESE JOURNAL OF APPLIED ENTOMOLOGY AND ZOOLOGY";"0021-4914";"1347-6068"
"59314";"1";"JAPANESE JOURNAL OF APPLIED PHYSICS";"0021-4922";""
"59315";"1";"JAPANESE JOURNAL OF CLINICAL ONCOLOGY";"0368-2811";"1465-3621"
"59316";"1";"JAPANESE JOURNAL OF CROP SCIENCE";"0011-1848";"1349-0990"
"70866";"-";"JAPANESE JOURNAL OF LACTIC ACID BACTERIA";"1343-327X";""
"70867";"-";"JAPANESE JOURNAL OF LEARNING DISABILITIES";"";""
"59317";"1";"JAPANESE JOURNAL OF MATHEMATICS";"0289-2316";"1861-3624"
"59318";"1";"JAPANESE JOURNAL OF OPHTHALMOLOGY";"0021-5155";"1613-2246"
"59319";"1";"JAPANESE JOURNAL OF PHYSICAL FITNESS AND SPORTS MEDICINE";"0039-906X";""
"61364";"1";"JAPANESE JOURNAL OF PHYSIOLOGICAL ANTHROPOLOGY";"1342-3215";""
"59320";"1";"JAPANESE JOURNAL OF POLITICAL SCIENCE";"1468-1099";"1474-0060"
"59321";"1";"JAPANESE JOURNAL OF RADIOLOGY";"1867-1071";"1867-108X"
"59322";"2";"JAPANESE JOURNAL OF RELIGIOUS STUDIES";"0304-1042";""
"59323";"1";"JAPANESE JOURNAL OF VETERINARY RESEARCH";"0047-1917";""
"59324";"1";"JAPANESE LANGUAGE AND LITERATURE";"1536-7827";""
"59325";"1";"JAPANESE RELIGIONS";"0448-8954";"2046-908X"
"72446";"-";"JAPANESE SOCIETY FOR ENGINEERING EDUCATION ANNUAL CONFERENCE";"";""
"70868";"1";"JAPANESE STUDIES";"1037-1397";"1469-9338"
"59395";"1";"JAR: JOURNAL FOR ARTISTIC RESEARCH";"2235-0225";""
"59326";"3";"JARO: JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY";"1525-3961";"1438-7573"
"59327";"1";"JARQ: JAPAN AGRICULTURAL RESEARCH QUARTERLY";"0021-3551";""
"59328";"1";"JASSS: THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION";"1460-7425";""
"59329";"3";"JAVMA: JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION";"0003-1488";"1943-569X"
"59330";"2";"JAVNOST: THE PUBLIC";"1318-3222";"1854-8377"
"59331";"1";"JAZYK I KUL'TURA";"1999-6195";""
"59332";"1";"JAZYK I RECEVAJA DEJATEL'NOST'";"1560-2974";""
"59333";"1";"JAZYKOVEDNY CASOPIS";"0021-5597";""
"70869";"1";"JAZZ PERSPECTIVES";"1749-4060";"1749-4079"
"59334";"1";"JAZZFORSCHUNG";"0075-3572";""
"59335";"1";"JBIS: JOURNAL OF THE BRITISH INTERPLANETARY SOCIETY";"0007-084X";""
"59336";"1";"JBR-BTR";"1780-2393";""
"59337";"1";"JCAC: JOURNAL OF THE CANADIAN ASSOCIATION FOR CONSERVATION";"1206-4661";""
"59338";"2";"JCMS: JOURNAL OF COMMON MARKET STUDIES";"0021-9886";"1468-5965"
"59339";"1";"JCP: BIOCHEMICAL PHYSICS";"";"1931-9223"
"59340";"1";"JCPSP: JOURNAL OF THE COLLEGE OF PHYSICIANS AND SURGEONS PAKISTAN";"1022-386X";"1681-7168"
"59341";"1";"JCR: JOURNAL OF CLINICAL RHEUMATOLOGY";"1076-1608";"1536-7355"
"59342";"1";"JCT COATINGSTECH";"1547-0083";""
"59343";"1";"JENDA: A JOURNAL OF CULTURE AND AFRICAN WOMEN STUDIES";"1530-5686";""
"59344";"1";"JERUSALEM STUDIES IN ARABIC AND ISLAM";"0334-4118";""
"59345";"1";"JERUSALEM STUDIES IN RELIGION AND CULTURE";"1570-078X";""
"59346";"1";"JETP LETTERS";"0021-3640";"1090-6487"
"53180";"1";"JEUNESSE: YOUNG PEOPLE, TEXTS, CULTURES";"1920-2601";"0319-0080"
"59347";"1";"JEUR: JOURNAL EUROPEEN DES URGENCES";"2211-4238";"0993-9857"
"59348";"1";"JEWISH AND CHRISTIAN PERSPECTIVES SERIES";"1388-2074";""
"59349";"1";"JEWISH BIBLE QUARTERLY";"0792-3910";""
"59350";"1";"JEWISH CULTURE AND HISTORY";"1462-169X";""
"59351";"2";"JEWISH HISTORY";"0334-701X";"1572-8579"
"59352";"1";"JEWISH IDENTITIES IN A CHANGING WORLD";"1570-7997";""
"59353";"1";"JEWISH QUARTERLY REVIEW";"0021-6682";"1553-0604"
"59354";"1";"JEWISH SOCIAL STUDIES";"0021-6704";"1527-2028"
"70870";"1";"JEWISH STUDIES, AN INTERNET JOURNAL";"";"1565-7388"
"59355";"1";"JEZIK";"0021-6925";""
"59356";"1";"JEZIK IN SLOVSTVO";"0021-6933";""
"59357";"1";"JEZIKOSLOVLJE";"1331-7202";""
"59358";"1";"JEZIKOSLOVNI ZAPISKI";"0354-0448";""
"59359";"1";"JEZYK POLSKI";"0021-6941";""
"72448";"-";"JFPS INTERNATIONAL SYMPOSIUM ON FLUID POWER";"";""
"50296";"1";"JINSHU XUEBAO";"0412-1961";""
"59360";"1";"JITTA: JOURNAL OF INFORMATION TECHNOLOGY THEORY AND APPLICATION";"1552-6496";"1532-4516"
"59361";"1";"JK SCIENCE";"0972-1177";""
"59362";"1";"JMM INTERNATIONAL JOURNAL ON MEDIA MANAGEMENT";"1424-1277";"1424-1250"
"59363";"1";"JNT: JOURNAL OF NARRATIVE THEORY";"1549-0815";"1548-9248"
"59364";"1";"JOGNN: JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING";"0884-2175";"1552-6909"
"59365";"1";"JOHN CLARE SOCIETY JOURNAL";"1356-7128";""
"59366";"1";"JOHN MARSHALL JOURNAL OF COMPUTER AND INFORMATION LAW";"1078-4128";""
"70872";"-";"JOHTAMISEN JA SOTILASPEDAGOGIIKAN LAITOKSEN JULKAISUT";"1798-0402";""
"59367";"1";"JOINT BONE SPINE";"1297-319X";"1778-7254"
"59368";"1";"JOINT COMMISSION JOURNAL ON QUALITY AND PATIENT SAFETY";"1553-7250";"1938-131X"
"72450";"1";"JOINT CONFERENCE OF THE INTERNATIONAL WORKSHOP ON SOFTWARE MEASUREMENT AND THE INTERNATIONAL CONFERENCE ON SOFTWARE PROCESS AND PRODUCT MEASUREMENT";"";""
"70873";"-";"JOINT CONFERENCE ON KNOWLEDGE-BASED SOFTWARE ENGINEERING";"";""
"72451";"-";"JOINT EUROPEAN MAGNETIC SYMPOSIA";"";""
"72449";"-";"JOINT IFIP WIRELESS MOBILE NETWORKING CONFERENCE";"";""
"72452";"-";"JOINT INTERNATIONAL IMEKO TC1+TC7+TC13 SYMPOSIUM";"";""
"72453";"-";"JOINT MEETING OF THE SPACE RESOURCES ROUNDTABLE AND THE PLANETARY & TERRESTRIAL MINING SCIENCES SYMPOSIUM";"";""
"72454";"-";"JOINT URBAN REMOTE SENSING EVENT";"";""
"72455";"-";"JOINT WORKSHOP ON HANDS-FREE SPEECH COMMUNICATION AND MICROPHONE ARRAYS";"";""
"59369";"1";"JOKULL";"0449-0576";""
"59370";"1";"JOM";"1047-4838";"1543-1851"
"59371";"1";"JOOP: JOURNAL OF OBJECT-ORIENTED PROGRAMMING";"1097-1408";"0896-8438"
"59372";"1";"JORNAL BRASILEIRO DE PNEUMOLOGIA";"1806-3713";"1806-3756"
"59373";"1";"JORNAL DE PEDIATRIA";"0021-7557";"1678-4782"
"59374";"1";"JOURN@L ELECTRONIQUE D'HISTOIRE DES PROBABILITES ET DE LA STATISTIQUE";"";"1773-0074"
"59375";"1";"JOURNAL AMERICAN WATER WORKS ASSOCIATION";"0003-150X";"1551-8833"
"59376";"2";"JOURNAL ASIATIQUE";"0021-762X";"1783-1504"
"59377";"2";"JOURNAL D ANALYSE MATHEMATIQUE";"0021-7670";"1565-8538"
"59378";"1";"JOURNAL DE CHIRURGIE VISCERALE";"1878-786X";"1878-7878"
"59379";"1";"JOURNAL DE GYNECOLOGIE OBSTETRIQUE ET BIOLOGIE DE LA REPRODUCTION";"0368-2315";""
"59380";"1";"JOURNAL DE LA SOCIETE DES AMERICANISTES";"0037-9174";"1957-7842"
"59381";"2";"JOURNAL DE LA SOCIETE DES OCEANISTES";"0300-953X";"1760-7256"
"59382";"3";"JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES";"0021-7824";""
"59383";"1";"JOURNAL DE PEDIATRIE ET DE PUERICULTURE";"0987-7983";"1777-5981"
"59384";"1";"JOURNAL DE RADIOLOGIE";"2211-5706";"0221-0363"
"59385";"1";"JOURNAL DE READAPTATION MEDICALE";"0242-648X";""
"59386";"1";"JOURNAL DE THEORIE DES NOMBRES DE BORDEAUX";"1246-7405";"2118-8572"
"59387";"1";"JOURNAL DE THERAPIE COMPORTEMENTALE ET COGNITIVE";"1155-1704";""
"59388";"1";"JOURNAL DE TRAUMATOLOGIE DU SPORT";"0762-915X";""
"59389";"1";"JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT";"1610-0379";"1610-0387"
"59390";"1";"JOURNAL DES AFRICANISTES";"0399-0346";"1957-7850"
"59391";"1";"JOURNAL DES ANTHROPOLOGUES";"1156-0428";""
"59392";"1";"JOURNAL DES MALADIES VASCULAIRES";"0398-0499";""
"59393";"1";"JOURNAL DES SAVANTS";"0021-8103";""
"59394";"1";"JOURNAL DU DROIT INTERNATIONAL";"0021-8170";""
"59519";"1";"JOURNAL FOR ALGEBRA AND NUMBER THEORY ACADEMIA";"0976-8475";""
"59396";"1";"JOURNAL FOR CHRISTIAN THEOLOGICAL RESEARCH";"";"1087-1624"
"59397";"1";"JOURNAL FOR CRIME CONFLICT AND MEDIA CULTURE";"";"1741-1580"
"59398";"1";"JOURNAL FOR CRITICAL EDUCATION POLICY STUDIES";"";"1740-2743"
"68271";"1";"JOURNAL FOR CULTURAL AND RELIGIOUS THEORY";"";"1530-5228"
"59399";"1";"JOURNAL FOR CULTURAL RESEARCH";"1479-7585";"1467-8713"
"59400";"1";"JOURNAL FOR DRAMA IN EDUCATION";"1476-9395";""
"59401";"1";"JOURNAL FOR DRAMATIC THEORY AND CRITICISM";"0888-3203";"2165-2686"
"59402";"1";"JOURNAL FOR EAST EUROPEAN MANAGEMENT STUDIES";"0949-6181";"1862-0019"
"70874";"-";"JOURNAL FOR EDUCATIONAL RESEARCH ONLINE";"";"1866-6671"
"59403";"2";"JOURNAL FOR EIGHTEENTH-CENTURY STUDIES";"1754-0194";"1754-0208"
"59404";"1";"JOURNAL FOR EUROPEAN ENVIRONMENTAL AND PLANNING LAW";"1613-7272";"1876-0104"
"59405";"2";"JOURNAL FOR GENERAL PHILOSOPHY OF SCIENCE";"0925-4560";"1572-8587"
"70875";"1";"JOURNAL FOR GEOMETRY AND GRAPHICS";"1433-8157";""
"59406";"1";"JOURNAL FOR HEALTHCARE QUALITY";"1062-2551";"1945-1474"
"59407";"1";"JOURNAL FOR INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP DEVELOPMENT";"1549-9324";"1747-6763"
"59408";"1";"JOURNAL FOR LATE ANTIQUE RELIGION AND CULTURE";"";"1754-517X"
"59409";"1";"JOURNAL FOR NATURE CONSERVATION";"1617-1381";""
"59410";"2";"JOURNAL FOR RESEARCH IN MATHEMATICS EDUCATION";"0021-8251";"1945-2306"
"59411";"1";"JOURNAL FOR SPECIALISTS IN GROUP WORK";"0193-3922";"1549-6295"
"59412";"1";"JOURNAL FOR SPECIALISTS IN PEDIATRIC NURSING";"1539-0136";"1744-6155"
"59413";"1";"JOURNAL FOR THE ANTHROPOLOGICAL STUDY OF HUMAN MOVEMENT";"0891-7124";"2152-1115"
"59414";"1";"JOURNAL FOR THE EDUCATION OF THE GIFTED";"0162-3532";"2162-9501"
"59415";"2";"JOURNAL FOR THE HISTORY OF ASTRONOMY";"0021-8286";"1753-8556"
"59416";"3";"JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION";"0021-8294";"1468-5906"
"59417";"1";"JOURNAL FOR THE STUDY OF BRITISH CULTURES";"0944-9094";""
"59418";"2";"JOURNAL FOR THE STUDY OF JUDAISM";"0047-2212";"1570-0631"
"59419";"1";"JOURNAL FOR THE STUDY OF RELIGION, NATURE AND CULTURE";"1749-4907";"1749-4915"
"59420";"1";"JOURNAL FOR THE STUDY OF RELIGIONS AND IDEOLOGIES";"";"1583-0039"
"70876";"1";"JOURNAL FOR THE STUDY OF THE HISTORICAL JESUS";"1476-8690";"1745-5197"
"59421";"2";"JOURNAL FOR THE STUDY OF THE NEW TESTAMENT";"0142-064X";"1745-5294"
"59422";"3";"JOURNAL FOR THE STUDY OF THE OLD TESTAMENT";"0309-0892";"1476-6728"
"59423";"2";"JOURNAL FOR THE STUDY OF THE PSEUDEPIGRAPHA";"0951-8207";"1745-5286"
"59424";"1";"JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR";"0021-8308";"1468-5914"
"59425";"1";"JOURNAL FRANCAIS D OPHTALMOLOGIE";"0181-5512";"1773-0597"
"59426";"3";"JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK";"0075-4102";"1435-5345"
"59427";"1";"JOURNAL FUR ENKWICKLUNGSPOLITIK";"0258-2384";""
"59428";"1";"JOURNAL FUR MATHEMATIK-DIDAKTIK";"0173-5322";"1869-2699"
"59429";"1";"JOURNAL FUR VERBRAUCHERSCHUTZ UND LEBENSMITTELSICHERHEIT-JOURNAL OF CONSUMER PROTECTION AND FOOD SAFETY";"1661-5751";"1661-5867"
"70877";"1";"JOURNAL IN COMPUTER VIROLOGY";"1772-9890";"1772-9904"
"59430";"1";"JOURNAL INTERNATIONAL DE BIOETHIQUE";"1287-7352";"2102-5169"
"59431";"1";"JOURNAL INTERNATIONAL DES SCIENCES DE LA VIGNE ET DU VIN";"1151-0285";""
"59432";"1";"JOURNAL OF AAPOS";"1091-8531";"1528-3933"
"59433";"2";"JOURNAL OF ABNORMAL CHILD PSYCHOLOGY";"0091-0627";"1573-2835"
"59434";"3";"JOURNAL OF ABNORMAL PSYCHOLOGY";"0021-843X";"1939-1846"
"70878";"1";"JOURNAL OF ACADEMIC ETHICS";"1570-1727";"1572-8544"
"59435";"1";"JOURNAL OF ACADEMIC LIBRARIANSHIP";"0099-1333";"1879-1999"
"59436";"1";"JOURNAL OF ACCESS SERVICES";"1536-7967";"1536-7975"
"59437";"1";"JOURNAL OF ACCOUNTANCY";"0021-8448";"1945-0729"
"59438";"3";"JOURNAL OF ACCOUNTING AND ECONOMICS";"0165-4101";""
"59439";"1";"JOURNAL OF ACCOUNTING AND ORGANISATIONAL CHANGE";"1832-5912";"1839-5473"
"59440";"2";"JOURNAL OF ACCOUNTING AND PUBLIC POLICY";"0278-4254";"1873-2070"
"59441";"1";"JOURNAL OF ACCOUNTING EDUCATION";"0748-5751";"1873-1996"
"59442";"1";"JOURNAL OF ACCOUNTING LITERATURE";"0737-4607";""
"59443";"3";"JOURNAL OF ACCOUNTING RESEARCH";"0021-8456";"1475-679X"
"59444";"1";"JOURNAL OF ACCOUNTING, AUDITING AND FINANCE";"0148-558X";"2160-4061"
"59445";"1";"JOURNAL OF ACTIVE AND PASSIVE ELECTRONIC DEVICES";"1555-0281";"1555-029X"
"59446";"1";"JOURNAL OF ACTUARIAL PRACTICE";"1064-6647";""
"59447";"1";"JOURNAL OF ADDICTION MEDICINE";"1932-0620";"1935-3227"
"59448";"1";"JOURNAL OF ADDICTIONS AND OFFENDER COUNSELING";"1055-3835";"2161-1874"
"59449";"1";"JOURNAL OF ADDICTIONS NURSING";"1088-4602";"1548-7148"
"59450";"1";"JOURNAL OF ADDICTIVE DISEASES";"1055-0887";"1545-0848"
"59451";"1";"JOURNAL OF ADHESION";"0021-8464";"1545-5823"
"59452";"1";"JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY";"0169-4243";"1568-5616"
"59453";"1";"JOURNAL OF ADHESIVE DENTISTRY";"1461-5185";"1757-9988"
"59454";"2";"JOURNAL OF ADOLESCENCE";"0140-1971";"1095-9254"
"59455";"2";"JOURNAL OF ADOLESCENT AND ADULT LITERACY";"1081-3004";"1936-2706"
"59456";"2";"JOURNAL OF ADOLESCENT HEALTH";"1054-139X";"1879-1972"
"59457";"1";"JOURNAL OF ADOLESCENT RESEARCH";"0743-5584";"1552-6895"
"59458";"1";"JOURNAL OF ADULT DEVELOPMENT";"1068-0667";"1573-3440"
"59459";"1";"JOURNAL OF ADULT PROTECTION";"1466-8203";"2042-8669"
"59460";"1";"JOURNAL OF ADVANCED CONCRETE TECHNOLOGY";"1346-8014";"1347-3913"
"70879";"1";"JOURNAL OF ADVANCED DIELECTRICS";"2010-135X";"2010-1368"
"59461";"1";"JOURNAL OF ADVANCED MANUFACTURING SYSTEMS";"0219-6867";"1793-6896"
"59462";"1";"JOURNAL OF ADVANCED MATERIALS";"0969-6849";""
"59463";"3";"JOURNAL OF ADVANCED NURSING";"0309-2402";"1365-2648"
"59464";"1";"JOURNAL OF ADVANCED OXIDATION TECHNOLOGIES";"1203-8407";""
"59465";"1";"JOURNAL OF ADVANCED PERIOPERATIVE CARE";"1470-5664";""
"59466";"1";"JOURNAL OF ADVANCED TRANSPORTATION";"0197-6729";"2042-3195"
"59467";"1";"JOURNAL OF ADVANCED ZOOLOGY";"0253-7214";""
"70880";"1";"JOURNAL OF ADVANCES IN MANAGEMENT RESEARCH";"0972-7981";"2049-3207"
